0. 2 animals, 0 plants, 50 avg. energy, -1 avg. life time, 0 avg. childs
1. 2 animals, 2 plants, 49 avg. energy, -1 avg. life time, 0 avg. childs
2. 2 animals, 4 plants, 48 avg. energy, -1 avg. life time, 0 avg. childs
3. 2 animals, 6 plants, 47 avg. energy, -1 avg. life time, 0 avg. childs
4. 2 animals, 8 plants, 46 avg. energy, -1 avg. life time, 0 avg. childs
5. 2 animals, 9 plants, 50 avg. energy, -1 avg. life time, 0 avg. childs
6. 2 animals, 11 plants, 49 avg. energy, -1 avg. life time, 0 avg. childs
7. 2 animals, 13 plants, 48 avg. energy, -1 avg. life time, 0 avg. childs
8. 2 animals, 15 plants, 47 avg. energy, -1 avg. life time, 0 avg. childs
9. 2 animals, 17 plants, 46 avg. energy, -1 avg. life time, 0 avg. childs
10. 2 animals, 18 plants, 45 avg. energy, -1 avg. life time, 0 avg. childs
11. 2 animals, 19 plants, 44 avg. energy, -1 avg. life time, 0 avg. childs
12. 2 animals, 20 plants, 43 avg. energy, -1 avg. life time, 0 avg. childs
13. 2 animals, 21 plants, 42 avg. energy, -1 avg. life time, 0 avg. childs
14. 2 animals, 21 plants, 46 avg. energy, -1 avg. life time, 0 avg. childs
15. 2 animals, 22 plants, 45 avg. energy, -1 avg. life time, 0 avg. childs
16. 2 animals, 23 plants, 49 avg. energy, -1 avg. life time, 0 avg. childs
17. 2 animals, 24 plants, 48 avg. energy, -1 avg. life time, 0 avg. childs
18. 2 animals, 25 plants, 47 avg. energy, -1 avg. life time, 0 avg. childs
19. 2 animals, 26 plants, 46 avg. energy, -1 avg. life time, 0 avg. childs
20. 2 animals, 27 plants, 45 avg. energy, -1 avg. life time, 0 avg. childs
21. 2 animals, 28 plants, 44 avg. energy, -1 avg. life time, 0 avg. childs
22. 2 animals, 29 plants, 48 avg. energy, -1 avg. life time, 0 avg. childs
23. 2 animals, 29 plants, 52 avg. energy, -1 avg. life time, 0 avg. childs
24. 2 animals, 30 plants, 51 avg. energy, -1 avg. life time, 0 avg. childs
25. 2 animals, 31 plants, 55 avg. energy, -1 avg. life time, 0 avg. childs
26. 2 animals, 32 plants, 54 avg. energy, -1 avg. life time, 0 avg. childs
27. 2 animals, 34 plants, 53 avg. energy, -1 avg. life time, 0 avg. childs
28. 2 animals, 34 plants, 57 avg. energy, -1 avg. life time, 0 avg. childs
29. 2 animals, 36 plants, 56 avg. energy, -1 avg. life time, 0 avg. childs
30. 2 animals, 36 plants, 60 avg. energy, -1 avg. life time, 0 avg. childs
31. 2 animals, 37 plants, 59 avg. energy, -1 avg. life time, 0 avg. childs
32. 2 animals, 38 plants, 58 avg. energy, -1 avg. life time, 0 avg. childs
33. 2 animals, 39 plants, 57 avg. energy, -1 avg. life time, 0 avg. childs
34. 2 animals, 40 plants, 56 avg. energy, -1 avg. life time, 0 avg. childs
35. 2 animals, 41 plants, 55 avg. energy, -1 avg. life time, 0 avg. childs
36. 2 animals, 42 plants, 54 avg. energy, -1 avg. life time, 0 avg. childs
