0. 10 animals, 0 plants, 40 avg. energy, -1 avg. life time, 0 avg. childs
1. 10 animals, 1 plants, 39 avg. energy, -1 avg. life time, 0 avg. childs
2. 10 animals, 2 plants, 38 avg. energy, -1 avg. life time, 0 avg. childs
3. 10 animals, 3 plants, 37 avg. energy, -1 avg. life time, 0 avg. childs
4. 10 animals, 4 plants, 36 avg. energy, -1 avg. life time, 0 avg. childs
5. 10 animals, 5 plants, 35 avg. energy, -1 avg. life time, 0 avg. childs
6. 10 animals, 6 plants, 34 avg. energy, -1 avg. life time, 0 avg. childs
7. 10 animals, 7 plants, 33 avg. energy, -1 avg. life time, 0 avg. childs
8. 10 animals, 8 plants, 32 avg. energy, -1 avg. life time, 0 avg. childs
9. 11 animals, 8 plants, 31 avg. energy, -1 avg. life time, 0 avg. childs
10. 11 animals, 9 plants, 30 avg. energy, -1 avg. life time, 0 avg. childs
11. 11 animals, 10 plants, 29 avg. energy, -1 avg. life time, 0 avg. childs
12. 11 animals, 11 plants, 28 avg. energy, -1 avg. life time, 0 avg. childs
13. 11 animals, 12 plants, 27 avg. energy, -1 avg. life time, 0 avg. childs
14. 11 animals, 12 plants, 30 avg. energy, -1 avg. life time, 0 avg. childs
15. 11 animals, 12 plants, 33 avg. energy, -1 avg. life time, 0 avg. childs
16. 11 animals, 13 plants, 32 avg. energy, -1 avg. life time, 0 avg. childs
17. 11 animals, 13 plants, 34 avg. energy, -1 avg. life time, 0 avg. childs
18. 11 animals, 14 plants, 33 avg. energy, -1 avg. life time, 0 avg. childs
19. 11 animals, 15 plants, 32 avg. energy, -1 avg. life time, 0 avg. childs
20. 11 animals, 16 plants, 31 avg. energy, -1 avg. life time, 0 avg. childs
21. 11 animals, 17 plants, 30 avg. energy, -1 avg. life time, 0 avg. childs
22. 11 animals, 17 plants, 33 avg. energy, -1 avg. life time, 0 avg. childs
23. 11 animals, 18 plants, 32 avg. energy, -1 avg. life time, 0 avg. childs
24. 10 animals, 18 plants, 38 avg. energy, 14 avg. life time, 0 avg. childs
25. 10 animals, 19 plants, 37 avg. energy, 14 avg. life time, 0 avg. childs
26. 10 animals, 19 plants, 40 avg. energy, 14 avg. life time, 0 avg. childs
27. 10 animals, 18 plants, 47 avg. energy, 14 avg. life time, 0 avg. childs
28. 10 animals, 19 plants, 46 avg. energy, 14 avg. life time, 0 avg. childs
29. 10 animals, 20 plants, 45 avg. energy, 14 avg. life time, 0 avg. childs
30. 10 animals, 21 plants, 44 avg. energy, 14 avg. life time, 0 avg. childs
31. 10 animals, 21 plants, 47 avg. energy, 14 avg. life time, 0 avg. childs
